"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"MPU6500";"QFN24_3X3X0P9_IVS-M";1;"~";;;
2;"IO39,IO38,IO46,IO47,IO37,IO36,IO41,IO42,IO48,IO35,IO40,IO45";"SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm";12;"Conn_01x01";;;
3;"J6,J5";"PinSocket_1x02_P2.54mm_Vertical";2;"Conn_01x02_Socket";;;
4;"R24,R26,R25,R25,R23,R23,R25,R24";"R_0805_2012Metric";8;"56R";;;
5;"D4,D2,D3,D1";"LED_0805_2012Metric";4;"2V";;;
6;"R18,R12,R9,R20,R11,R17,R13,R16,R8,R10,R21,R7,R14,R15,R19,R22";"R_0805_2012Metric";16;"0R";;;
7;"Connector";"CONN_SM06B-GHS-TB_JST";1;"Connector";;;
8;"R5,R2,R1,R6,R4,R3";"R_0805_2012Metric";6;"10k";;;
9;"C14,C13,C4,C1,C2";"C_0805_2012Metric";5;"100 nF";;;
10;"SCLK | MISO | MOSI | SDA1 | SDA0 | SCL0 | SCL1 | TX2 | RX2 | TX1 | RX1 | CS | GND | 3V3";"TerminalBlock_Xinya_XY308-2.54-14P_1x14_P2.54mm_Horizontal";1;"Screw_Terminal_01x14";;;
11;"REF**";"PinHeader_1x01_P1.00mm_Vertical";1;"PinHeader_1x01_P1.00mm_Vertical";;;
12;"MS561101BA03-1";"XDCR_MS561101BA03-50";1;"~";;;
13;"MPL3115A2ST1";"PSON80P300X300X100-8N";1;"~";;;
14;"C3";"C_0805_2012Metric";1;"10 uF";;;
15;"C5";"C_0805_2012Metric";1;"10 nF";;;
16;"C6";"C_0805_2012Metric";1;"0,1 uF";;;
17;"HIGH,SW2,ADXL,HIGH";"SW_JS202011JCQN";4;"JS202011JAQN (Switch)";;;
18;"SW1(Slideswitch)1";"SW_CHS-01TA_NDC";1;"GND if disengaged, IO0 if engaged";;;
19;"KX1";"XDCR_KX003-1077";1;"~";;;
20;"C7,C8,C9,C11";"C_0805_2012Metric";4;"0.1 uF";;;
21;"ESP32 S3 Wroom 1u";"XCVR_ESP32-S3-WROOM-1U";1;"ESP32-S3-WROOM-1U";;;
22;"Boot";"SW_SPST_PTS810";1;"~";;;
23;"J1";"PinSocket_1x06_P2.54mm_Horizontal";1;"TTL";;;
24;"ADXL1";"LGA_CC-14-1_ADI-M";1;"~";;;
25;"C10";"C_0805_2012Metric";1;"1 uF";;;
26;"J4";"PinSocket_1x09_P2.54mm_Vertical";1;"Tele-GND";;;
27;"EN";"SW_SPST_PTS810";1;"Works as reset button";;;
