"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"ADXL375","~","Footprint Library v1.1.0:SPROG_ADXL375-M","","1","","",""
"C1,C2,C3,C4,C5,C7,C9","100 nF","Capacitor_SMD:C_0805_2012Metric","~","7","","",""
"C6","2.2 uF","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"C8,C12,C14,C16","10 uF","Capacitor_SMD:C_0805_2012Metric","~","4","","",""
"C10,C11","0.1 uF","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"C13,C15","1 uF","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"CP2102N-A02-GQFN28","CP2102N-A02-GQFN28","Footprint Library v1.1.0:SPROG_CP2102N-A02-GQFN28","","1","","",""
"D1","Debug","Diode_SMD:D_0805_2012Metric","~","1","","",""
"D2","LED","LED_SMD:LED_0805_2012Metric","~","1","","",""
"D3","1N5819HW-7-F","Footprint Library v1.1.0:SPROG_1N5819HW-7-F","","1","","",""
"D4,D5,D6,D7","D_Zener_Small","Footprint Library v1.1.0:SPROG_AQ4020_LTF","~","4","","",""
"D8,D9,D10,D11,D12,D13,D14,D15","Shottkey","Footprint Library v1.1.0:SPROG_DO214AA_MBRS_VIS","~","8","","",""
"ESP32-S3-WROOM-1U-N4","ESP32-S3-WROOM-1U-N4","Footprint Library v1.1.0:SPROG_ESP32-S3-WROOM-1U-N4","","1","","",""
"ICM-42688-P1","ICM-42688-P","Footprint Library v1.1.0:SPROG_ICM-42688-P","","1","","",""
"J1","RTS (EN)","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","1","","",""
"J2","6130XX21121_61300621121","Footprint Library v1.1.0:SPROG_61300621121","","1","","",""
"J3","GSB1C411101DS1HR","Footprint Library v1.1.0:SPROG_GSB1C411101DS1HR","","1","","",""
"J4","Screw_Terminal_01x04","Footprint Library v1.1.0:SPROG_CONN4_S04B-PASK_JST","~","1","","",""
"J5","TBLH10-350-10BK","Footprint Library v1.1.0:SPROG_TBLH10-350-10BK","","1","","",""
"J6","TTL","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","~","1","","",""
"KX134","~","Footprint Library v1.1.0:SPROG_KX134-1211","","1","","",""
"MCP23017T-E_SO1","MCP23017T-E_SO","Footprint Library v1.1.0:SPROG_MCP23017T-E_SO","","1","","",""
"MPL3115A2ST1","~","Footprint Library v1.1.0:SPROG_MPL3115A2","","1","","",""
"MS561101BA03-1","~","Footprint Library v1.1.0:SPROG_MS561101BA03-50","","1","","",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9","PMV37ENEAR","Footprint Library v1.1.0:SPROG_SOT23_PMV37_NEX","PMV37ENEAR","9","","",""
"Q10,Q11","NPN","Package_SO:Zetex_SM8","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs","2","","",""
"R1,R2,R3,R4,R6,R7,R34,R35,R36,R48,R49","10k","Resistor_SMD:R_0805_2012Metric","~","11","","",""
"R5,R24","56R","Resistor_SMD:R_0805_2012Metric","~","2","","",""
"R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R21,R22,R23,R27,R28,R29,R30,R46,R47,R50,R51","0R","Resistor_SMD:R_0805_2012Metric","~","22","","",""
"R19,R20,R31","5R1","Resistor_SMD:R_0805_2012Metric","~","3","","",""
"R25","50R","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"R26","OR","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"R32","22k1","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"R33","47k5","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"R37","1k","Resistor_SMD:R_0805_2012Metric","~","1","","",""
"R38,R39,R43","1R5","Footprint Library v1.1.0:SPROG_RES_PWR263S-20-1R50J","~","3","","",""
"R40,R42,R44,R45","300k","Resistor_SMD:R_0805_2012Metric","~","4","","",""
"R41","5R1","Footprint Library v1.1.0:SPROG_RES_PWR263S-20-1R50J","~","1","","",""
"SN74AHC14BQAR1","SN74AHC14BQAR","Footprint Library v1.1.0:SPROG_SN74AHC14BQAR","https://www.ti.com/lit/ds/symlink/sn74ahc14.pdf?ts=1728545676015&ref_url=https%253A%252F%252Fwww.mouser.de%252F","1","","",""
"SW1","EN","Footprint Library v1.1.0:SPROG_SW_PTS810_SJM","~","1","","",""
"SW2","IO0","Footprint Library v1.1.0:SPROG_SW_CHS-01TA_NDC","~","1","","",""
"SW3","Prog.","Footprint Library v1.1.0:SPROG_SW_PTS810_SJM","~","1","","",""
